tb_mid_x,tb_mid_y,hw_x,hw_y,hm_x,hm_y,ht_x,ht_y,mouth_mid_x,mouth_mid_y,is_smiling,teeth_section
73.67324829,1.966430664,269.5280075,43.06280136,210.7948589,-31.32753611,149,0.908958435,0,0,1,1
60.29119873,4.677703857,261.9036484,55.43386459,204.3374729,-25.34421444,144.75,14.35162354,0,0,1,1
184.3678284,77.66070557,232.1418381,-5.946979523,203.5613537,-41.52905703,149.125,1.064901352,0,0,1,1
180.1760254,79.46014404,226.0807419,-6.644353867,190.0303459,-43.68403673,132.625,1.960424423,0,0,1,1
36.98498535,5.660980225,226.98452,47.33696938,186.4156914,-18.62368584,111.125,20.80665207,0,0,1,1
42.53707886,14.54632568,254.1924286,88.03979874,203.4551716,-3.7733531,128.125,40.04909134,0,0,1,1
38.49854279,29.13250732,245.1265335,112.909441,200.9529972,16.5490222,127.25,56.55731964,0,0,1,1
109.0422363,-40.38573456,248.1305695,-11.60345078,166.7437172,-84.59195852,99.25,-27.08152771,0,0,1,1
172.6534424,79.35192871,241.3727188,68.69690895,182.6451492,-15.59611559,107.875,19.56793213,0,0,1,1
31.02373505,16.33651733,246.8315887,72.30869293,186.6945171,-11.07413292,115.125,27.47144508,0,0,1,1
54.58410645,-1.354278564,247.226944,44.2837429,192.1077442,-31.85224771,145,-3.000469208,0,0,1,1
58.17217255,-7.480651855,243.572998,43.66355896,185.8687401,-34.17657852,114.125,-7.965545654,0,0,1,1
64.21466064,0.051208496,268.9505386,53.0182457,218.7522984,-22.81424761,160.875,-11.67358017,0,0,1,1
43.00506592,17.80267334,245.3427124,83.42960358,201.3172626,-3.907670975,135.25,28.28226471,0,0,1,1
53.70563507,0.74395752,237.9528809,70.5527401,192.8087807,-15.14712811,116.625,5.7778759,0,0,1,1
66.23473358,12.94006348,250.4139709,75.98250389,209.1089821,-3.521461487,137.125,17.89831352,0,0,1,1
59.08978271,10.8137207,194.9713898,46.43340111,150.7484055,22.96887875,115.625,14.79039574,0,0,1,1
62.95211792,-10.62225342,252.947464,47.56719589,204.1494083,-28.82494211,149.25,-11.94663048,0,0,1,1
60.1756897,1.841552734,250.8651733,54.55581665,203.8327217,-19.65652227,148.5,-5.011064529,0,0,1,1
66.97067261,2.79095459,254.4547653,56.07032776,208.8598251,-17.83608198,154.25,-0.321115494,0,0,1,1
46.16547394,19.42672729,236.3066864,112.2196198,197.2437382,20.25019884,124.25,35.59173775,0,0,1,1
66.16592407,3.192993164,256.3058472,74.90678787,203.9485168,-14.29025173,149,-0.848682404,0,0,1,1
53.4211731,-15.97613525,242.4762344,18.15739632,185.4323006,-60.84668398,131.625,-35.05636597,0,0,1,1
38.97348022,-20.50140381,243.9925003,14.64883804,187.5252151,-68.91530514,127.5,-34.97017479,0,0,1,1
62.44403839,10.19836426,245.9630966,64.0123558,200.9942913,-17.29487658,139.25,2.348424911,0,0,1,1
70.31902313,-4.188751221,257.8970718,53.7569046,211.5648556,-26.21366501,151.375,-7.330198288,0,0,1,1
64.33154297,4.943664551,252.1310043,61.16100311,205.6218719,-23.20223808,142.5,1.971668243,0,0,1,1
69.28948975,12.93908691,250.7746887,78.96640778,208.7929153,-9.451947212,137.25,12.45448494,0,0,1,1
75.5258255,12.54858398,266.4402771,77.57512093,219.911375,-5.612432957,154.375,14.00358009,0,0,1,1
68.50473022,-0.652709961,257.2531509,65.77168465,211.3641071,-19.21073198,139.75,1.434522629,0,0,1,1
67.96849823,15.40725708,255.0655746,81.80253983,210.1512241,-6.040241718,141.125,17.04622078,0,0,1,1
63.13225555,3.198059082,247.084198,73.75771523,204.9314117,-16.39459848,133.5,8.615261078,0,0,1,1
43.70062256,-6.953491211,248.353157,58.25740814,197.6054764,-33.82025957,131.875,-0.19622612,0,0,1,1
60.25888062,-8.292907715,250.0880814,48.67126465,199.6140575,-33.67218018,138.375,-10.62201118,0,0,1,1
90.28701782,-2.951538086,283.2871246,21.64340973,231.9430447,-40.90552568,191.5,-18.32910919,0,0,1,2
